region,total,german,french,italian,romansh,english,portuguese,serbian&croatian,albanian,spanish,turkish,otherLanguages 
AG,571882,493846,11299,29018,810,31539,10127,20078,23667,8262,9215,34243
AI,13270,12594,NaN,205,NaN,433,196,153,NaN,148,NaN,354
AR,45950,41718,513,1036,NaN,2135,476,1760,535,609,434,2230
BE,868970,727120,95390,27360,795,38349,14633,12893,17024,15046,6311,49620
BL,243491,209829,7909,13430,264,16317,2484,5619,5857,4762,5900,14780
BS,162990,125210,8214,10022,267,19742,3630,4958,5733,6555,6089,15583
FR,262654,68438,181335,6343,162,10211,20364,2090,5327,4860,1940,11839
GE,389107,15605,309901,24916,330,47320,36560,3416,8973,29199,2427,34930
GL,33983,29385,416,1862,203,1361,979,982,1364,462,388,1813
GR,170045,127941,2294,22504,25014,5822,7471,2659,1317,1704,355,6982
JU,61370,4569,55082,1545,NaN,1409,1433,433,1036,1364,195,2170
LU,342001,303063,5564,11389,668,15690,7647,10419,12657,5223,1915,18408
NE,146440,6908,128455,8318,NaN,6772,11372,1636,1897,4190,981,6856
NW,36616,33186,600,1184,NaN,1984,866,670,519,227,NaN,1422
OW,31675,29144,465,386,178,1102,893,276,479,NaN,230,1134
SG,424721,372327,5441,14973,1547,17498,6496,16568,20229,5218,3959,23804
SH,69345,60189,1226,2688,NaN,3601,955,2562,2211,1053,1045,4892
SO,231764,201949,6810,11093,419,9915,2327,6500,9774,2495,4892,13562
SZ,134575,118851,2533,4708,371,8535,1699,3715,3806,1098,496,7747
TG,233109,207699,2955,8585,320,9023,4754,5124,10261,2846,2739,11224
TI,299826,30632,14081,265638,427,11612,7389,8155,3043,7101,849,11091
UR,30466,28463,NaN,427,NaN,1003,535,773,240,234,315,951
VD,657154,36089,542613,32729,310,58570,52373,10457,15003,26500,3822,44508
VS,288793,71000,195915,13201,NaN,11116,23130,3740,5002,4888,495,9921
ZG,106045,85202,3653,4589,191,12880,2381,3965,2176,2332,1178,9520
ZH,1276291,1029623,42485,72076,3426,121261,31127,37808,42966,37463,18535,108372
CH,7132533,4470580,1625363,590226,36349,465200,252297,167409,201178,173997,74899,447956
