region,total,age0_19,age20_64,age65+,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,0.0801,0.0814,0.0804,0.0774,0.0811,0.0790,0.0800,0.0801,0.0763,0.0855,0.0760,0.0762,0.0535,0.0591,0.0564,0.0697,0.1107,0.0788
AI,0.0019,0.0020,0.0018,0.0020,0.0019,0.0018,0.0022,0.0008,0.0019,0.0020,0.0021,0.0013,0.0016,0.0003,0.0007,0.0000,0.0000,0.0124
AR,0.0064,0.0065,0.0062,0.0069,0.0065,0.0063,0.0071,0.0041,0.0060,0.0067,0.0069,0.0065,0.0016,0.0046,0.0040,0.0029,0.0141,0.0098
BE,0.1203,0.1148,0.1171,0.1365,0.1191,0.1215,0.1346,0.0785,0.1177,0.1210,0.1360,0.1226,0.0891,0.1010,0.1191,0.1004,0.1226,0.1996
BL,0.0336,0.0323,0.0320,0.0400,0.0332,0.0339,0.0344,0.0310,0.0304,0.0364,0.0392,0.0334,0.0178,0.0382,0.0258,0.0362,0.0456,0.0052
BS,0.0227,0.0198,0.0233,0.0238,0.0222,0.0232,0.0192,0.0328,0.0246,0.0197,0.0247,0.0254,0.0340,0.0416,0.0319,0.0360,0.0000,0.0000
FR,0.0375,0.0415,0.0379,0.0323,0.0379,0.0372,0.0387,0.0340,0.0387,0.0371,0.0336,0.0362,0.0421,0.0271,0.0215,0.0194,0.0728,0.0621
GE,0.0584,0.0617,0.0596,0.0509,0.0570,0.0598,0.0469,0.0921,0.0629,0.0527,0.0499,0.0655,0.1475,0.0844,0.0976,0.0845,0.0238,0.0000
GL,0.0047,0.0045,0.0046,0.0052,0.0048,0.0046,0.0048,0.0046,0.0044,0.0050,0.0057,0.0046,0.0032,0.0026,0.0023,0.0057,0.0000,0.0072
GR,0.0231,0.0204,0.0227,0.0271,0.0233,0.0229,0.0251,0.0172,0.0218,0.0243,0.0266,0.0223,0.0211,0.0123,0.0101,0.0120,0.0129,0.0836
JU,0.0085,0.0088,0.0080,0.0097,0.0085,0.0085,0.0097,0.0050,0.0083,0.0084,0.0110,0.0089,0.0162,0.0044,0.0044,0.0045,0.0078,0.0259
LU,0.0480,0.0488,0.0483,0.0462,0.0482,0.0478,0.0522,0.0358,0.0490,0.0490,0.0465,0.0397,0.0405,0.0364,0.0329,0.0401,0.0250,0.1140
NE,0.0203,0.0211,0.0198,0.0209,0.0200,0.0205,0.0204,0.0200,0.0205,0.0188,0.0234,0.0250,0.0211,0.0129,0.0144,0.0187,0.0278,0.0163
NW,0.0050,0.0046,0.0050,0.0057,0.0052,0.0049,0.0057,0.0030,0.0048,0.0053,0.0051,0.0048,0.0032,0.0025,0.0017,0.0029,0.0031,0.0165
OW,0.0044,0.0044,0.0043,0.0046,0.0045,0.0043,0.0050,0.0025,0.0043,0.0047,0.0045,0.0034,0.0032,0.0024,0.0010,0.0019,0.0000,0.0209
SG,0.0593,0.0609,0.0590,0.0589,0.0600,0.0587,0.0600,0.0575,0.0575,0.0619,0.0600,0.0568,0.0438,0.0356,0.0248,0.0653,0.0356,0.0688
SH,0.0096,0.0090,0.0093,0.0110,0.0096,0.0096,0.0095,0.0099,0.0088,0.0102,0.0112,0.0100,0.0016,0.0079,0.0074,0.0087,0.0144,0.0064
SO,0.0320,0.0306,0.0318,0.0341,0.0322,0.0318,0.0329,0.0294,0.0300,0.0336,0.0349,0.0334,0.0227,0.0245,0.0252,0.0306,0.0376,0.0297
SZ,0.0187,0.0180,0.0190,0.0183,0.0193,0.0181,0.0195,0.0163,0.0181,0.0198,0.0177,0.0176,0.0162,0.0145,0.0121,0.0181,0.0183,0.0220
TG,0.0326,0.0331,0.0327,0.0317,0.0331,0.0321,0.0326,0.0326,0.0308,0.0348,0.0313,0.0328,0.0194,0.0223,0.0174,0.0240,0.0311,0.0707
TI,0.0405,0.0362,0.0390,0.0497,0.0397,0.0412,0.0393,0.0438,0.0384,0.0412,0.0526,0.0417,0.0665,0.0253,0.0248,0.0457,0.0400,0.0194
UR,0.0042,0.0042,0.0041,0.0048,0.0044,0.0041,0.0050,0.0021,0.0041,0.0047,0.0049,0.0027,0.0097,0.0018,0.0017,0.0042,0.0052,0.0032
VD,0.0940,0.1032,0.0945,0.0825,0.0930,0.0949,0.0842,0.1225,0.1000,0.0879,0.0839,0.0964,0.1199,0.1076,0.1080,0.0920,0.1204,0.0639
VS,0.0402,0.0393,0.0397,0.0430,0.0402,0.0402,0.0416,0.0360,0.0386,0.0412,0.0457,0.0410,0.0519,0.0270,0.0268,0.0349,0.0446,0.0559
ZG,0.0149,0.0151,0.0151,0.0138,0.0152,0.0146,0.0142,0.0168,0.0145,0.0159,0.0124,0.0134,0.0211,0.0135,0.0104,0.0216,0.0056,0.0000
ZH,0.1792,0.1779,0.1845,0.1630,0.1800,0.1784,0.1749,0.1917,0.1876,0.1723,0.1542,0.1783,0.1313,0.2900,0.3177,0.2199,0.1810,0.0078
CH,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
