Region,n2016,n2017,n2018,n2019,n2020,n2021,n2022
AG,8905,8994,9033,9002,9048,9128,9142
AI,223,215,208,186,176,179,179
AR,708,679,691,718,715,718,693
BE,19561,19793,20157,20329,20288,20276,20114
BL,2662,2725,2680,2706,2778,2825,2867
BS,90,87,80,85,87,90,93
FR,6524,6748,6905,6859,6807,6858,6808
GE,2040,2103,2133,2154,2153,2150,2163
GL,409,405,415,428,408,397,401
GR,4804,4862,4924,4918,4969,4983,4788
JU,5227,5157,5221,5150,5050,5020,4788
LU,5763,5887,6028,6061,6001,6044,6015
NE,2440,2427,2441,2458,2402,2403,2374
NW,236,254,235,231,221,215,214
OW,495,510,510,507,507,516,523
SG,6589,6622,6566,6558,6580,6625,6621
SH,1089,1147,1172,1216,1230,1228,1235
SO,4333,4388,4470,4445,4446,4421,4398
SZ,1642,1696,1699,1666,1647,1636,1626
TG,5712,5910,5994,5998,5992,6001,6008
TI,2724,2888,2981,3073,3179,3234,3233
UR,169,170,171,172,175,185,185
VD,9265,9870,9861,9766,9661,9697,9659
VS,3982,4147,4242,4294,4323,4364,4375
ZG,1124,1161,1180,1136,1157,1213,1187
ZH,11989,12242,12271,12355,12398,12467,12429
CH,109013,111296,112400,112577,112477,112947,112160
