Region,2016,2017,2018,2019,2020,2021,2022
AG,0,48,37,46,37,49,0
AI,5,0,0,0,0,0,0
AR,0,7,0,0,0,0,0
BE,32,156,131,126,179,146,0
BL,0,5,0,0,0,0,0
BS,0,0,0,0,0,0,0
FR,0,50,31,63,49,16,0
GE,0,0,37,13,25,39,0
GL,0,0,0,0,0,0,0
GR,0,0,5,13,7,0,0
JU,17,87,94,110,157,182,0
LU,5,36,5,36,17,35,0
NE,0,5,0,0,10,0,0
NW,0,0,0,0,0,0,0
OW,0,0,0,0,0,0,0
SG,0,10,5,0,0,5,0
SH,0,0,0,0,0,0,0
SO,0,34,14,11,17,25,0
SZ,0,0,0,0,0,0,0
TG,0,14,17,24,32,11,6
TI,0,0,7,7,0,11,0
UR,0,0,0,0,0,0,0
VD,13,72,76,157,54,73,0
VS,0,0,0,25,19,11,0
ZG,0,0,0,0,0,0,0
ZH,0,66,83,57,80,79,6
CH,72,590,542,688,683,682,12
